Transaction ID,Date,Month Year,Account Number,Transaction Type,Amount,Source System,Reconciliation Status,Discrepancy Reason,Currency,Branch Code,Processed By,Approval Status,Comments,Transaction Mode,Last Modified
TXN000001,3/29/2024,Mar 2024,ACC000006,Deposit,6759.57,Bank,Mismatched,Missing,USD,BRC011,User_49,Unknown,Incorrect amount,Unknown,3/29/2024
TXN000002,2/16/2024,Feb 2024,ACC000101,Invoice,9018.83,Bank,Matched,None,Unknown,BRC013,User_2,Pending,Urgent,Wire Transfer,2/16/2024
TXN000003,2/17/2024,Feb 2024,ACC000145,Payment,669.55,CRM,Matched,None,USD,BRC020,User_11,Rejected,Needs review,POS,2/17/2024
TXN000004,1/6/2024,Jan 2024,ACC000254,Transfer,-3818.05,General Ledger,Pending,Missing,GBP,BRC015,User_7,Rejected,Incorrect amount,ATM,1/6/2024
TXN000005,2/25/2024,Feb 2024,ACC000138,Deposit,-1636.92,Bank,Matched,None,NGN,BRC013,User_11,Approved,Urgent,POS,2/25/2024
TXN000006,2/9/2024,Feb 2024,ACC000192,Deposit,11134.72,Payroll,Adjusted,Incorrect Amount,EUR,BRC003,User_44,Approved,No Comments,Online,2/9/2024
TXN000007,2/28/2024,Feb 2024,ACC000295,Transfer,6449.92,General Ledger,Pending,None,EUR,BRC006,User_37,Rejected,No Comments,POS,2/28/2024
TXN000008,3/27/2024,Mar 2024,ACC000222,Transfer,11764.08,ERP,Mismatched,Duplicate,NGN,BRC017,User_36,Approved,No Comments,Online,3/27/2024
TXN000009,1/6/2024,Jan 2024,ACC000373,Withdrawal,931.79,CRM,Mismatched,Duplicate,EUR,BRC019,User_2,Rejected,Duplicate entry,ATM,1/6/2024
TXN000010,2/17/2024,Feb 2024,ACC000071,Invoice,6221.98,Payroll,Matched,None,CAD,BRC017,User_39,Pending,Needs review,ATM,2/17/2024
TXN000011,1/1/2024,Jan 2024,ACC000115,Invoice,7149.39,Payroll,Pending,None,USD,BRC017,User_17,Approved,Urgent,Manual Entry,1/1/2024
TXN000012,3/26/2024,Mar 2024,ACC000133,Transfer,-279.54,Bank,Mismatched,Duplicate,EUR,BRC019,User_5,Pending,Incorrect amount,ATM,3/26/2024
TXN000013,1/24/2024,Jan 2024,ACC000225,Deposit,9680.87,Bank,Adjusted,None,EUR,BRC007,User_3,Pending,No Comments,ATM,1/24/2024
TXN000014,2/3/2024,Feb 2024,ACC000324,Deposit,3136.51,ERP,Adjusted,Missing,EUR,BRC006,User_24,Rejected,Urgent,ATM,2/3/2024
TXN000015,3/8/2024,Mar 2024,ACC000406,Withdrawal,-1.04,General Ledger,Mismatched,Incorrect Amount,USD,BRC008,User_31,Pending,Needs review,Wire Transfer,3/8/2024
TXN000016,1/8/2024,Jan 2024,ACC000396,Withdrawal,-610.91,CRM,Matched,None,NGN,BRC012,User_24,Pending,Urgent,Online,1/8/2024
TXN000017,2/25/2024,Feb 2024,ACC000365,Deposit,11691.98,Payroll,Pending,Duplicate,EUR,BRC008,User_29,Approved,No Comments,Manual Entry,2/25/2024
TXN000018,1/1/2024,Jan 2024,ACC000114,Withdrawal,6254.63,Bank,Adjusted,None,NGN,BRC016,User_39,Approved,Incorrect amount,Online,1/1/2024
